RespondentID,Is it rude to wake a passenger up if you are trying to go to the bathroom?,How often do you travel by plane?,Do you ever recline your seat when you fly?,How tall are you?,Do you have any children under 18?,Is it rude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words to the stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is it rude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is it rude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to walk around?,"In general, is it rude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?"
3434165659,"Yes, somewhat rude",Once a month or less,Usually,"6'0""",No,"Yes, very rude","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3434164339,,Once a year or less,,,,,,,,,,,,,,
3434161941,,Once a year or less,Never,"5'7""",,"Yes, somewhat rude","Yes, somewhat rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,,,,,
3434155493,,Never,,,,,,,,,,,,,,
3434132453,,Never,,,,,,,,,,,,,,
3434131535,"No, not at all rude",Once a year or less,Once in a while,"6'0""",No,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3434125180,,A few times per week,,,,,,,,,,,,,,
3434122066,"Yes, somewhat rude",Once a year or less,Always,"5'8""",Yes,"No, not rude at all","No, not at all rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","No, not at all rude"
3434114105,"No, not at all rude",Once a year or less,Once in a while,"6'1""",No,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3434109246,,Once a year or less,,,,,,,,,,,,,,
3434107997,"No, not at all rude",Once a year or less,Never,"5'10""",No,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3434100967,"No, not at all rude",Once a year or less,Once in a while,"5'7""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3434087928,,Never,,,,,,,,,,,,,,
3434084098,,Never,,,,,,,,,,,,,,
3434071488,,Never,,,,,,,,,,,,,,
3434061256,,Never,,,,,,,,,,,,,,
3434059758,,Never,,,,,,,,,,,,,,
3434052290,"No, not at all rude",Once a year or less,Once in a while,"6'0""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3434049700,"No, not at all rude",Once a year or less,About half the time,"6'2""",No,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3434041278,"No, not at all rude",Once a year or less,Always,"5'6""",No,"Yes, somewhat rude","No, not at all rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3434033301,"Yes, very rude",Once a year or less,About half the time,"5'11""",No,"Yes, somewhat rude","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, very rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3434024435,"No, not at all rude",Once a year or less,Never,"5'10""",No,"No, not rude at all","Yes, very rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","Yes, very rude"
3434018106,,A few times per week,,,,,,,,,,,,,,
3434016416,"No, not at all rude",Once a year or less,Once in a while,"6'2""",Yes,"Yes, somewhat rude","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3434013636,"Yes, somewhat rude",Every day,Usually,"5'7""",Yes,"Yes, somewhat rude","Yes, somewhat rude",Once,"No, the person on the flight has no obligation to the person behind them","Yes, very rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3434009177,"Yes, somewhat rude",Once a year or less,Never,"5'10""",Yes,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3434003204,"Yes, somewhat rude",Once a year or less,About half the time,"6'0""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3434003093,"No, not at all rude",Once a year or less,Once in a while,"5'11""",No,"Yes, somewhat rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433976285,,Never,,,,,,,,,,,,,,
3433973110,,Never,,,,,,,,,,,,,,
3433964953,"No, not at all rude",Once a year or less,Usually,"5'5""",No,"Yes, somewhat rude","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433964124,"No, not at all rude",Once a year or less,Once in a while,"6'0""",Yes,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433957540,"No, not at all rude",Once a year or less,Never,"5'7""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433954490,,Never,,,,,,,,,,,,,,
3433928804,"Yes, somewhat rude",Once a year or less,Once in a while,"5'7""",Yes,"No, not rude at all","Yes, somewhat rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, very rude"
3433926438,"No, not at all rude",A few times per month,About half the time,"6'2""",No,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433914630,"Yes, somewhat rude",Once a year or less,Once in a while,"6'4""",No,"No, not rude at all","Yes, somewhat rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3433912503,"No, not at all rude",Once a year or less,Never,"6'0""",No,"No, not rude at all","Yes, somewhat rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude"
3433895905,"Yes, somewhat rude",Once a year or less,Once in a while,"5'10""",Yes,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433890093,"No, not at all rude",Once a year or less,Always,"6'0""",No,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433882884,,Never,,,,,,,,,,,,,,
3433881615,"No, not at all rude",A few times per month,Usually,"5'7""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433880747,"No, not at all rude",Once a year or less,Once in a while,"5'9""",No,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433877510,"No, not at all rude",Once a year or less,Once in a while,"6'1""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433877337,"No, not at all rude",Once a month or less,Once in a while,"6'2""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3433873724,"Yes, somewhat rude",Once a month or less,Once in a while,"5'11""",No,"Yes, somewhat rude","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433863512,"No, not at all rude",Once a month or less,Usually,"6'6"" and above",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433853098,"Yes, somewhat rude",Once a year or less,Usually,"5'10""",No,"Yes, somewhat rude","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3433847365,"No, not at all rude",Once a year or less,About half the time,"6'1""",Yes,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433842253,"No, not at all rude",Once a year or less,Never,"5'10""",No,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433809714,"No, not at all rude",Once a year or less,Never,"6'0""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433791959,"No, not at all rude",Once a month or less,Usually,"6'2""",No,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433766902,"Yes, somewhat rude",Once a month or less,Once in a while,"5'8""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3433704267,,Once a year or less,Always,"5'9""",No,"Yes, somewhat rude","Yes, somewhat rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,,,,,
3433702768,"No, not at all rude",Once a year or less,Once in a while,"5'7""",No,"Yes, somewhat rude","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433696677,"No, not at all rude",Once a year or less,Usually,"5'9""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433682046,"No, not at all rude",Once a year or less,Never,"5'9""",Yes,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433675127,"Yes, somewhat rude",Once a year or less,Once in a while,"6'4""",No,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433674615,"No, not at all rude",Once a month or less,Once in a while,"5'9""",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433674116,"Yes, somewhat rude",Once a year or less,Never,"5'10""",No,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","No, not at all rude"
3433673902,"Yes, somewhat rude",Once a year or less,Once in a while,Under 5 ft.,No,"No, not rude at all","Yes, somewhat rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","Yes, very rude","Yes, very rude","Yes, very rude"
3433669889,,Never,,,,,,,,,,,,,,
3433547088,,Never,,,,,,,,,,,,,,
3433546426,"Yes, somewhat rude",Once a month or less,Once in a while,"5'7""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433532135,"Yes, somewhat rude",Once a year or less,Always,"6'4""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",Yes,"No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3433529889,,Never,,,,,,,,,,,,,,
3433508090,"No, not at all rude",Once a year or less,Once in a while,"5'8""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433505616,"No, not at all rude",Once a year or less,Never,"5'7""",No,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433498776,"No, not at all rude",Once a year or less,Usually,"5'11""",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433491130,"No, not at all rude",Once a year or less,Never,"5'6""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3433481077,"Yes, very rude",Once a year or less,Usually,"5'9""",No,"Yes, somewhat rude","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, very rude","Yes, somewhat rude","Yes, somewhat rude"
3433469104,"Yes, somewhat rude",Once a year or less,Always,"5'9""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","No, not at all rude"
3433455019,"No, not at all rude",Once a year or less,Usually,"6'2""",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433451973,"No, not at all rude",Once a year or less,Never,"6'0""",No,"Yes, somewhat rude","Yes, very rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3433444761,"No, not at all rude",Once a month or less,Once in a while,"5'11""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433443270,"No, not at all rude",Once a month or less,Never,"5'8""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433421347,"Yes, somewhat rude",Once a year or less,Usually,"6'2""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433413347,,Never,,,,,,,,,,,,,,
3433408077,,Never,,,,,,,,,,,,,,
3433405051,"No, not at all rude",Once a year or less,Once in a while,"6'1""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433400808,,Never,,,,,,,,,,,,,,
3433400150,,Never,,,,,,,,,,,,,,
3433396155,,Never,,,,,,,,,,,,,,
3433387742,"No, not at all rude",Once a month or less,Always,"5'10""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433383009,"Yes, somewhat rude",Once a year or less,Always,"5'9""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, very rude"
3433381681,"No, not at all rude",Once a month or less,Once in a while,"5'9""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433379314,"No, not at all rude",Once a year or less,Never,"6'5""",No,"No, not rude at all","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433372314,"No, not at all rude",Once a year or less,Always,"5'11""",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433370920,"No, not at all rude",Once a year or less,Once in a while,"6'2""",Yes,"No, not rude at all","Yes, somewhat rude",Once,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3433368700,"No, not at all rude",Once a year or less,Once in a while,"6'2""",No,"Yes, somewhat rude","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433368365,"Yes, somewhat rude",Once a month or less,Usually,"5'10""",No,"No, not rude at all","Yes, somewhat rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, very rude"
3433366122,"Yes, somewhat rude",Once a year or less,Always,"6'3""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",No,"Yes, very rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3433365905,,Never,,,,,,,,,,,,,,
3433365410,"No, not at all rude",Once a year or less,Never,"5'8""",No,"Yes, somewhat rude","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433365207,,Once a year or less,,,,,,,,,,,,,,
3433363377,,Never,,,,,,,,,,,,,,
3433361838,"Yes, somewhat rude",Once a year or less,Once in a while,"6'1""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433358233,,Never,,,,,,,,,,,,,,
3433356966,"No, not at all rude",Once a year or less,Once in a while,"6'0""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433355321,,Never,,,,,,,,,,,,,,
3433351077,"No, not at all rude",Once a year or less,About half the time,"5'8""",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433347213,,Never,,,,,,,,,,,,,,
3433343494,"No, not at all rude",Once a year or less,Once in a while,"5'7""",No,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3433342645,"Yes, somewhat rude",Once a month or less,Never,"5'9""",No,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433339828,,Never,,,,,,,,,,,,,,
3433339691,"No, not at all rude",Once a year or less,Once in a while,"5'11""",No,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433339394,"No, not at all rude",Once a month or less,Never,"5'10""",Yes,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude"
3433335323,"Yes, somewhat rude",Once a month or less,Usually,"6'4""",No,"No, not rude at all","No, not at all rude",Once,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433334272,"No, not at all rude",Once a month or less,Once in a while,"5'10""",No,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3433333817,,Never,,,,,,,,,,,,,,
3433332557,"No, not at all rude",Once a year or less,Never,"5'9""",No,"No, not rude at all","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3433330676,,Never,,,,,,,,,,,,,,
3433329602,"Yes, somewhat rude",Once a year or less,About half the time,"5'11""",Yes,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
